"row_index","batch","cell_type","cell_observed_mixing_score"
303,"P56_batch2","PT2",0.466666666666667
304,"P56_batch2","PT",0.4
305,"P56_batch2","LOH",0.366666666666667
306,"P56_batch2","PT",0.333333333333333
307,"P56_batch2","PT",0.5
308,"P56_batch2","LOH",0.4
309,"P56_batch2","PT",0.666666666666667
310,"P56_batch2","PT",0.4
311,"P56_batch2","PT",0.4
312,"P56_batch2","LOH",0.633333333333333
313,"P56_batch2","PC",0.4
314,"P56_batch2","PT2",0.433333333333333
315,"P56_batch2","PT",0.433333333333333
316,"P56_batch2","PT",0.566666666666667
317,"P56_batch2","PT",0.433333333333333
318,"P56_batch2","PT",0.366666666666667
319,"P56_batch2","LOH",0.466666666666667
320,"P56_batch2","CNT",0.233333333333333
321,"P56_batch2","CNT",0.466666666666667
322,"P56_batch2","stroma1",0.533333333333333
323,"P56_batch2","PT",0.5
324,"P56_batch2","PT_out",0.433333333333333
325,"P56_batch2","PT",0.7
326,"P56_batch2","PT2",0.233333333333333
327,"P56_batch2","LOH",0.533333333333333
328,"P56_batch2","LOH",0.6
329,"P56_batch2","PT",0.633333333333333
330,"P56_batch2","stroma2",0.633333333333333
331,"P56_batch2","LOH",0.466666666666667
332,"P56_batch2","LOH",0.533333333333333
333,"P56_batch2","PT",0.533333333333333
334,"P56_batch2","PC",0.4
335,"P56_batch2","Endo",0.5
336,"P56_batch2","IC",0.433333333333333
337,"P56_batch2","PT",0.466666666666667
338,"P56_batch2","PT",0.533333333333333
339,"P56_batch2","immune",0.366666666666667
340,"P56_batch2","CNT",0.733333333333333
341,"P56_batch2","Endo",0.733333333333333
342,"P56_batch2","LOH",0.6
343,"P56_batch2","PT",0.366666666666667
344,"P56_batch2","DCT",0.366666666666667
345,"P56_batch2","DCT",0.5
346,"P56_batch2","PT",0.5
347,"P56_batch2","PT2",0.633333333333333
348,"P56_batch2","PT",0.733333333333333
349,"P56_batch2","LOH",0.733333333333333
350,"P56_batch2","IC",0.333333333333333
351,"P56_batch2","stroma2",0.533333333333333
352,"P56_batch2","PT",0.3
353,"P56_batch2","PT2",0.433333333333333
354,"P56_batch2","PT",0.433333333333333
355,"P56_batch2","PT2",0.166666666666667
356,"P56_batch2","LOH",0.233333333333333
357,"P56_batch2","LOH",0.333333333333333
358,"P56_batch2","PT",0.466666666666667
359,"P56_batch2","PT",0.5
360,"P56_batch2","PT",0.4
361,"P56_batch2","PT",0.666666666666667
362,"P56_batch2","DCT",0.466666666666667
363,"P56_batch2","DCT",0.433333333333333
364,"P56_batch2","PT",0.333333333333333
365,"P56_batch2","PT",0.633333333333333
366,"P56_batch2","PT2",0.6
367,"P56_batch2","LOH",0.533333333333333
368,"P56_batch2","PT",0.4
369,"P56_batch2","DCT",0.4
370,"P56_batch2","LOH",0.466666666666667
371,"P56_batch2","DCT",0.666666666666667
372,"P56_batch2","PT2",0.2
373,"P56_batch2","Podo",0.466666666666667
374,"P56_batch2","PT2",0.2
375,"P56_batch2","LOH",0.366666666666667
376,"P56_batch2","PT",0.333333333333333
377,"P56_batch2","IC",0.866666666666667
378,"P56_batch2","LOH",0.233333333333333
379,"P56_batch2","PT",0.2
380,"P56_batch2","PT",0.566666666666667
381,"P56_batch2","IC",0.366666666666667
382,"P56_batch2","NP_LOH",0.7
383,"P56_batch2","stroma2",0.6
384,"P56_batch2","Endo",0.733333333333333
385,"P56_batch2","PT",0.366666666666667
386,"P56_batch2","stroma2",0.566666666666667
387,"P56_batch2","PT",0.533333333333333
388,"P56_batch2","stroma2",0.766666666666667
389,"P56_batch2","LOH",0.4
390,"P56_batch2","stroma2",0.9
391,"P56_batch2","PT",0.366666666666667
392,"P56_batch2","PT",0.766666666666667
393,"P56_batch2","LOH",0.433333333333333
394,"P56_batch2","PT",0.366666666666667
395,"P56_batch2","LOH",0.566666666666667
396,"P56_batch2","LOH",0.5
397,"P56_batch2","PT",0.4
398,"P56_batch2","CNT",0.133333333333333
399,"P56_batch2","PT",0.566666666666667
400,"P56_batch2","LOH",0.466666666666667
401,"P56_batch2","stroma2",0.533333333333333
402,"P56_batch2","stroma2",0.533333333333333
403,"P56_batch2","PT2",0.566666666666667
404,"P56_batch2","stroma2",0.8
405,"P56_batch2","PT",0.566666666666667
406,"P56_batch2","PT",0.733333333333333
407,"P56_batch2","PT",0.666666666666667
408,"P56_batch2","stroma1",0.433333333333333
409,"P56_batch2","PT",0.6
410,"P56_batch2","PT",0.466666666666667
411,"P56_batch2","PT",0.433333333333333
412,"P56_batch2","stroma2",0.533333333333333
413,"P56_batch2","PT",0.4
414,"P56_batch2","IC",0.766666666666667
415,"P56_batch2","stroma2",0.9
416,"P56_batch2","CNT",0.2
417,"P56_batch2","PT",0.566666666666667
418,"P56_batch2","Endo",0.433333333333333
419,"P56_batch2","PT",0.4
420,"P56_batch2","IC",0.333333333333333
421,"P56_batch2","PT2",0.5
422,"P56_batch2","PT",0.433333333333333
423,"P56_batch2","NP_LOH",0.7
424,"P56_batch2","CNT",0.466666666666667
425,"P56_batch2","PT",0.333333333333333
426,"P56_batch2","PT",0.666666666666667
427,"P56_batch2","Endo",0.633333333333333
428,"P56_batch2","PT",0.7
429,"P56_batch2","stroma2",0.533333333333333
430,"P56_batch2","PT",0.5
431,"P56_batch2","DCT",0.633333333333333
432,"P56_batch2","PT",0.366666666666667
433,"P56_batch2","PT",0.3
434,"P56_batch2","PT",0.633333333333333
435,"P56_batch2","PT",0.266666666666667
436,"P56_batch2","PT",0.5
437,"P56_batch2","PT",0.2
438,"P56_batch2","CNT",0.2
439,"P56_batch2","Endo",0.633333333333333
440,"P56_batch2","PT",0.4
441,"P56_batch2","LOH",0.8
442,"P56_batch2","LOH",0.666666666666667
443,"P56_batch2","LOH",0.633333333333333
444,"P56_batch2","PT",0.633333333333333
445,"P56_batch2","PT",0.266666666666667
446,"P56_batch2","Endo",0.433333333333333
447,"P56_batch2","CNT",0.366666666666667
448,"P56_batch2","DCT",0.5
449,"P56_batch2","immune",0.5
450,"P56_batch2","Endo",0.5
451,"P56_batch2","PT",0.6
452,"P56_batch2","PT",0.466666666666667
453,"P56_batch2","PT",0.533333333333333
454,"P56_batch2","PT",0.533333333333333
455,"P56_batch2","PT",0.233333333333333
456,"P56_batch2","PT2",0.233333333333333
457,"P56_batch2","LOH",0.266666666666667
458,"P56_batch2","LOH",0.466666666666667
459,"P56_batch2","PT",0.5
460,"P56_batch2","PT",0.3
461,"P56_batch2","PT",0.5
462,"P56_batch2","PT",0.6
463,"P56_batch2","PT_out",0.266666666666667
464,"P56_batch2","Endo",0.433333333333333
465,"P56_batch2","LOH",0.5
466,"P56_batch2","PT",0.433333333333333
467,"P56_batch2","PT2",0.1
468,"P56_batch2","PC",0.5
469,"P56_batch2","PT",0.7
470,"P56_batch2","PT",0.4
471,"P56_batch2","PT",0.433333333333333
472,"P56_batch2","PT",0.633333333333333
473,"P56_batch2","PT2",0.366666666666667
474,"P56_batch2","PT2",0.5
475,"P56_batch2","Endo",0.666666666666667
476,"P56_batch2","NP_LOH",0.333333333333333
477,"P56_batch2","PT",0.566666666666667
478,"P56_batch2","PT",0.5
479,"P56_batch2","LOH",0.433333333333333
480,"P56_batch2","PT2",0.333333333333333
481,"P56_batch2","Endo",0.7
482,"P56_batch2","PT_out",0.233333333333333
483,"P56_batch2","LOH",0.5
484,"P56_batch2","stroma2",0.5
485,"P56_batch2","PT",0.6
486,"P56_batch2","LOH",0.5
487,"P56_batch2","LOH",0.533333333333333
488,"P56_batch2","PT",0.233333333333333
489,"P56_batch2","LOH",0.466666666666667
490,"P56_batch2","LOH",0.6
491,"P56_batch2","LOH",0.5
492,"P56_batch2","PT2",0.433333333333333
493,"P56_batch2","NP_LOH",0.266666666666667
494,"P56_batch2","PC",0.6
495,"P56_batch2","Endo",0.6
496,"P56_batch2","IC",0.433333333333333
497,"P56_batch2","PT",0.766666666666667
498,"P56_batch2","LOH",0.633333333333333
499,"P56_batch2","PC",0.633333333333333
500,"P56_batch2","IC",0.466666666666667
501,"P56_batch2","LOH",0.5
502,"P56_batch2","PT",0.4
503,"P56_batch2","PT2",0.3
504,"P56_batch2","PT",0.6
505,"P56_batch2","PT2",0.366666666666667
506,"P56_batch2","PT",0.733333333333333
507,"P56_batch2","stroma2",0.666666666666667
508,"P56_batch2","PT",0.4
509,"P56_batch2","PT2",0.4
510,"P56_batch2","stroma2",0.566666666666667
511,"P56_batch2","PT",0.633333333333333
512,"P56_batch2","PT",0.5
513,"P56_batch2","PC",0.333333333333333
514,"P56_batch2","DCT",0.466666666666667
515,"P56_batch2","PT",0.466666666666667
516,"P56_batch2","LOH",0.633333333333333
517,"P56_batch2","PT",0.4
