"row_index","batch","cell_type","cell_observed_mixing_score"
359,"P56_batch2","PT",0.966666666666667
360,"P56_batch2","PT",0.0666666666666667
361,"P56_batch2","PT",0.0666666666666667
362,"P56_batch2","DCT",0.0333333333333333
363,"P56_batch2","DCT",0
364,"P56_batch2","PT",0.0333333333333333
365,"P56_batch2","PT",0.866666666666667
366,"P56_batch2","PT2",0.766666666666667
367,"P56_batch2","LOH",0
368,"P56_batch2","PT",0.7
369,"P56_batch2","DCT",0
370,"P56_batch2","LOH",0.0666666666666667
371,"P56_batch2","DCT",0
372,"P56_batch2","PT2",0
373,"P56_batch2","Podo",0.0666666666666667
374,"P56_batch2","PT2",0.133333333333333
375,"P56_batch2","LOH",0.1
376,"P56_batch2","PT",0.5
377,"P56_batch2","IC",0.0333333333333333
378,"P56_batch2","LOH",0
379,"P56_batch2","PT",0.266666666666667
380,"P56_batch2","PT",0.633333333333333
381,"P56_batch2","IC",0
382,"P56_batch2","NP_LOH",0.3
383,"P56_batch2","stroma2",0.233333333333333
384,"P56_batch2","Endo",0.5
385,"P56_batch2","PT",0
386,"P56_batch2","stroma2",0.3
387,"P56_batch2","PT",0
388,"P56_batch2","stroma2",0.2
389,"P56_batch2","LOH",0.133333333333333
390,"P56_batch2","stroma2",0.133333333333333
391,"P56_batch2","PT",0.1
392,"P56_batch2","PT",0.4
393,"P56_batch2","LOH",0
394,"P56_batch2","PT",0.133333333333333
395,"P56_batch2","LOH",0
396,"P56_batch2","LOH",0.133333333333333
397,"P56_batch2","PT",0.3
398,"P56_batch2","CNT",0.0333333333333333
399,"P56_batch2","PT",0.2
400,"P56_batch2","LOH",0.0333333333333333
401,"P56_batch2","stroma2",0.0666666666666667
402,"P56_batch2","stroma2",0.666666666666667
403,"P56_batch2","PT2",0
404,"P56_batch2","stroma2",0.0666666666666667
405,"P56_batch2","PT",0.333333333333333
406,"P56_batch2","PT",0.0333333333333333
407,"P56_batch2","PT",0.1
408,"P56_batch2","stroma1",0.466666666666667
409,"P56_batch2","PT",0.1
410,"P56_batch2","PT",0
411,"P56_batch2","PT",0
412,"P56_batch2","stroma2",0.266666666666667
413,"P56_batch2","PT",0
414,"P56_batch2","IC",0.0333333333333333
415,"P56_batch2","stroma2",0.0666666666666667
416,"P56_batch2","CNT",0
417,"P56_batch2","PT",0.566666666666667
418,"P56_batch2","Endo",0.333333333333333
419,"P56_batch2","PT",0.333333333333333
420,"P56_batch2","IC",0.866666666666667
421,"P56_batch2","PT2",0
422,"P56_batch2","PT",0.1
423,"P56_batch2","NP_LOH",0.133333333333333
424,"P56_batch2","CNT",0
425,"P56_batch2","PT",0.533333333333333
426,"P56_batch2","PT",0.733333333333333
427,"P56_batch2","Endo",0.8
428,"P56_batch2","PT",0.2
429,"P56_batch2","stroma2",0.5
430,"P56_batch2","PT",0.0666666666666667
431,"P56_batch2","DCT",0
432,"P56_batch2","PT",0.133333333333333
433,"P56_batch2","PT",0.0333333333333333
434,"P56_batch2","PT",0.0666666666666667
435,"P56_batch2","PT",0.466666666666667
